Day_ahead_price
11.88
11.6
11.76
11.09
8.83
7.15
5.56
6.12
2.58
2.7
0.1
1.05
0.85
-7.68
-15.0
-10.0
-5.65
0.69
4.98
12.54
13.45
14.06
21.6
15.2
14.54
9.8
9.8
6.07
4.07
5.77
7.31
10.05
10.96
9.17
4.01
1.71
3.04
0.59
0.97
1.28
1.41
11.53
16.57
22.0
22.6
22.48
23.37
20.9
18.08
16.33
14.99
14.65
15.35
18.84
25.5
32.92
33.15
24.1
21.86
21.45
20.91
19.54
19.02
18.06
20.09
25.64
35.11
42.8
46.52
39.61
35.93
25.92
25.54
24.0
22.72
20.87
19.27
20.11
27.39
43.41
35.48
31.07
28.72
28.0
27.23
25.27
25.58
26.04
25.78
26.18
29.41
39.04
38.76
31.8
27.71
23.99
22.17
20.98
19.61
18.52
17.31
17.53
21.63
33.64
43.97
33.25
31.82
31.77
30.5
28.93
26.13
26.0
25.7
26.38
28.2
26.07
25.0
23.94
22.69
18.04
17.25
16.8
17.06
15.99
15.61
15.12
17.31
24.63
33.97
31.53
28.4
29.96
26.43
24.0
22.5
20.74
20.93
23.75
26.72
27.99
27.03
25.67
25.89
20.16
12.07
5.65
1.32
0.96
1.44
1.35
0.08
2.81
5.79
5.65
4.22
2.42
0.97
-0.69
-3.46
-1.71
0.05
9.78
16.42
21.23
23.27
22.98
23.91
21.4
