"MTU (CET),""Day-ahead Price [EUR/MWh]"""
"05.06.2020 00:00 - 05.06.2020 01:00,""17.25"""
"05.06.2020 01:00 - 05.06.2020 02:00,""16.80"""
"05.06.2020 02:00 - 05.06.2020 03:00,""17.06"""
"05.06.2020 03:00 - 05.06.2020 04:00,""15.99"""
"05.06.2020 04:00 - 05.06.2020 05:00,""15.61"""
"05.06.2020 05:00 - 05.06.2020 06:00,""15.12"""
"05.06.2020 06:00 - 05.06.2020 07:00,""17.31"""
"05.06.2020 07:00 - 05.06.2020 08:00,""24.63"""
"05.06.2020 08:00 - 05.06.2020 09:00,""33.97"""
"05.06.2020 09:00 - 05.06.2020 10:00,""31.53"""
"05.06.2020 10:00 - 05.06.2020 11:00,""28.40"""
"05.06.2020 11:00 - 05.06.2020 12:00,""29.96"""
"05.06.2020 12:00 - 05.06.2020 13:00,""26.43"""
"05.06.2020 13:00 - 05.06.2020 14:00,""24.00"""
"05.06.2020 14:00 - 05.06.2020 15:00,""22.50"""
"05.06.2020 15:00 - 05.06.2020 16:00,""20.74"""
"05.06.2020 16:00 - 05.06.2020 17:00,""20.93"""
"05.06.2020 17:00 - 05.06.2020 18:00,""23.75"""
"05.06.2020 18:00 - 05.06.2020 19:00,""26.72"""
"05.06.2020 19:00 - 05.06.2020 20:00,""27.99"""
"05.06.2020 20:00 - 05.06.2020 21:00,""27.03"""
"05.06.2020 21:00 - 05.06.2020 22:00,""25.67"""
"05.06.2020 22:00 - 05.06.2020 23:00,""25.89"""
"05.06.2020 23:00 - 06.06.2020 00:00,""20.16"""
