"MTU (CET),""Day-ahead Price [EUR/MWh]"""
"01.06.2020 00:00 - 01.06.2020 01:00,""14.54"""
"01.06.2020 01:00 - 01.06.2020 02:00,""9.80"""
"01.06.2020 02:00 - 01.06.2020 03:00,""9.80"""
"01.06.2020 03:00 - 01.06.2020 04:00,""6.07"""
"01.06.2020 04:00 - 01.06.2020 05:00,""4.07"""
"01.06.2020 05:00 - 01.06.2020 06:00,""5.77"""
"01.06.2020 06:00 - 01.06.2020 07:00,""7.31"""
"01.06.2020 07:00 - 01.06.2020 08:00,""10.05"""
"01.06.2020 08:00 - 01.06.2020 09:00,""10.96"""
"01.06.2020 09:00 - 01.06.2020 10:00,""9.17"""
"01.06.2020 10:00 - 01.06.2020 11:00,""4.01"""
"01.06.2020 11:00 - 01.06.2020 12:00,""1.71"""
"01.06.2020 12:00 - 01.06.2020 13:00,""3.04"""
"01.06.2020 13:00 - 01.06.2020 14:00,""0.59"""
"01.06.2020 14:00 - 01.06.2020 15:00,""0.97"""
"01.06.2020 15:00 - 01.06.2020 16:00,""1.28"""
"01.06.2020 16:00 - 01.06.2020 17:00,""1.41"""
"01.06.2020 17:00 - 01.06.2020 18:00,""11.53"""
"01.06.2020 18:00 - 01.06.2020 19:00,""16.57"""
"01.06.2020 19:00 - 01.06.2020 20:00,""22.00"""
"01.06.2020 20:00 - 01.06.2020 21:00,""22.60"""
"01.06.2020 21:00 - 01.06.2020 22:00,""22.48"""
"01.06.2020 22:00 - 01.06.2020 23:00,""23.37"""
"01.06.2020 23:00 - 02.06.2020 00:00,""20.90"""
