"MTU (CET),""Day-ahead Price [EUR/MWh]"""
"02.06.2020 00:00 - 02.06.2020 01:00,""18.08"""
"02.06.2020 01:00 - 02.06.2020 02:00,""16.33"""
"02.06.2020 02:00 - 02.06.2020 03:00,""14.99"""
"02.06.2020 03:00 - 02.06.2020 04:00,""14.65"""
"02.06.2020 04:00 - 02.06.2020 05:00,""15.35"""
"02.06.2020 05:00 - 02.06.2020 06:00,""18.84"""
"02.06.2020 06:00 - 02.06.2020 07:00,""25.50"""
"02.06.2020 07:00 - 02.06.2020 08:00,""32.92"""
"02.06.2020 08:00 - 02.06.2020 09:00,""33.15"""
"02.06.2020 09:00 - 02.06.2020 10:00,""24.10"""
"02.06.2020 10:00 - 02.06.2020 11:00,""21.86"""
"02.06.2020 11:00 - 02.06.2020 12:00,""21.45"""
"02.06.2020 12:00 - 02.06.2020 13:00,""20.91"""
"02.06.2020 13:00 - 02.06.2020 14:00,""19.54"""
"02.06.2020 14:00 - 02.06.2020 15:00,""19.02"""
"02.06.2020 15:00 - 02.06.2020 16:00,""18.06"""
"02.06.2020 16:00 - 02.06.2020 17:00,""20.09"""
"02.06.2020 17:00 - 02.06.2020 18:00,""25.64"""
"02.06.2020 18:00 - 02.06.2020 19:00,""35.11"""
"02.06.2020 19:00 - 02.06.2020 20:00,""42.80"""
"02.06.2020 20:00 - 02.06.2020 21:00,""46.52"""
"02.06.2020 21:00 - 02.06.2020 22:00,""39.61"""
"02.06.2020 22:00 - 02.06.2020 23:00,""35.93"""
"02.06.2020 23:00 - 03.06.2020 00:00,""25.92"""
