"MTU (CET),""Day-ahead Price [EUR/MWh]"""
"06.06.2020 00:00 - 06.06.2020 01:00,""12.07"""
"06.06.2020 01:00 - 06.06.2020 02:00,""5.65"""
"06.06.2020 02:00 - 06.06.2020 03:00,""1.32"""
"06.06.2020 03:00 - 06.06.2020 04:00,""0.96"""
"06.06.2020 04:00 - 06.06.2020 05:00,""1.44"""
"06.06.2020 05:00 - 06.06.2020 06:00,""1.35"""
"06.06.2020 06:00 - 06.06.2020 07:00,""0.08"""
"06.06.2020 07:00 - 06.06.2020 08:00,""2.81"""
"06.06.2020 08:00 - 06.06.2020 09:00,""5.79"""
"06.06.2020 09:00 - 06.06.2020 10:00,""5.65"""
"06.06.2020 10:00 - 06.06.2020 11:00,""4.22"""
"06.06.2020 11:00 - 06.06.2020 12:00,""2.42"""
"06.06.2020 12:00 - 06.06.2020 13:00,""0.97"""
"06.06.2020 13:00 - 06.06.2020 14:00,""-0.69"""
"06.06.2020 14:00 - 06.06.2020 15:00,""-3.46"""
"06.06.2020 15:00 - 06.06.2020 16:00,""-1.71"""
"06.06.2020 16:00 - 06.06.2020 17:00,""0.05"""
"06.06.2020 17:00 - 06.06.2020 18:00,""9.78"""
"06.06.2020 18:00 - 06.06.2020 19:00,""16.42"""
"06.06.2020 19:00 - 06.06.2020 20:00,""21.23"""
"06.06.2020 20:00 - 06.06.2020 21:00,""23.27"""
"06.06.2020 21:00 - 06.06.2020 22:00,""22.98"""
"06.06.2020 22:00 - 06.06.2020 23:00,""23.91"""
"06.06.2020 23:00 - 07.06.2020 00:00,""21.40"""
